dataset,heuristic,model,method,optimization,prefix_length,idx,desired_nr_of_cfs,generated_cfs,time_train,time_test,runtime,distance_l2,distance_mad,distance_j,distance_h,distance_l1j,distance_l2j,distance_mh,distance_l2_min,distance_mad_min,distance_j_min,distance_h_min,distance_l1j_min,distance_l2j_min,distance_mh_min,distance_l2_max,distance_mad_max,distance_j_max,distance_h_max,distance_l1j_max,distance_l2j_max,distance_mh_max,diversity_l2,diversity_mad,diversity_j,diversity_h,diversity_l2j,diversity_mh,diversity_l2_min,diversity_mad_min,diversity_j_min,diversity_h_min,diversity_l2j_min,diversity_mh_min,diversity_l2_max,diversity_mad_max,diversity_j_max,diversity_h_max,diversity_l2j_max,diversity_mh_max,count_diversity_cont,count_diversity_cate,count_diversity_all,avg_nbr_changes_per_cf,avg_nbr_changes,implausibility_sum,implausibility_max_nbr_cf,implausibility_nbr_cf,sat_score
bpic2012_O_ACCEPTED-COMPLETE,heuristic_1,xgboost,genetic_ltlf,baseline,20,1,15,15,0.031421,122.761756,122.793177,0.0,0.0,0.02,0.1866666666666666,0.019047619047619,0.019047619047619,0.1777777777777777,0.0,0.0,0.0,0.1,0.0,0.0,0.0952380952380952,0.0,0.0,0.3,0.75,0.2857142857142857,0.2857142857142857,0.7142857142857142,0.0,0.0,0.0399999999999999,0.2061904761904761,0.038095238095238,0.1963718820861677,0.0,0.0,0.0,0.05,0.0,0.0476190476190476,0.0,0.0,0.3,0.75,0.2857142857142857,0.7142857142857142,0.0,0.0458201058201058,0.0458201058201058,1.8666666666666667,0.0888888888888888,2.7999999999999994,0.1866666666666666,0.1866666666666666,1.0
bpic2012_O_ACCEPTED-COMPLETE,heuristic_1,xgboost,genetic_ltlf,baseline,20,1,20,20,0.031421,199.194571,199.225992,0.0,0.0,0.025,0.2,0.0238095238095238,0.0238095238095238,0.1904761904761904,0.0,0.0,0.0,0.1,0.0,0.0,0.0952380952380952,0.0,0.0,0.25,0.7,0.238095238095238,0.238095238095238,0.6666666666666666,0.0,0.0,0.0480263157894736,0.2605263157894736,0.0457393483709273,0.2481203007518796,0.0,0.0,0.0,0.05,0.0,0.0476190476190476,0.0,0.0,0.25,0.7,0.238095238095238,0.6666666666666666,0.0,0.0589285714285714,0.0589285714285714,2.0,0.0952380952380952,3.999999999999999,0.1999999999999999,0.1999999999999999,1.0
bpic2012_O_ACCEPTED-COMPLETE,heuristic_1,xgboost,genetic_ltlf,baseline,20,2,5,5,0.031421,7.475896,7.507317,0.0,0.0,0.0,0.1,0.0,0.0,0.0952380952380952,0.0,0.0,0.0,0.05,0.0,0.0,0.0476190476190476,0.0,0.0,0.0,0.2,0.0,0.0,0.1904761904761904,0.0,0.0,0.0,0.1699999999999999,0.0,0.1619047619047618,0.0,0.0,0.0,0.05,0.0,0.0476190476190476,0.0,0.0,0.0,0.35,0.0,0.3333333333333333,0.0,0.0323809523809523,0.0323809523809523,1.0,0.0476190476190476,1.95,0.3899999999999999,0.3899999999999999,1.0
bpic2012_O_ACCEPTED-COMPLETE,heuristic_1,xgboost,genetic_ltlf,baseline,20,2,10,10,0.031421,13.743697,13.775118,0.0,0.0,0.005,0.25,0.0047619047619047,0.0047619047619047,0.238095238095238,0.0,0.0,0.0,0.05,0.0,0.0,0.0476190476190476,0.0,0.0,0.05,0.35,0.0476190476190476,0.0476190476190476,0.3333333333333333,0.0,0.0,0.01,0.3744444444444444,0.0095238095238095,0.3566137566137566,0.0,0.0,0.0,0.05,0.0,0.0476190476190476,0.0,0.0,0.05,0.55,0.0476190476190476,0.5238095238095238,0.0,0.0802380952380952,0.0802380952380952,2.5,0.119047619047619,4.8,0.48,0.48,1.0
bpic2012_O_ACCEPTED-COMPLETE,heuristic_1,xgboost,genetic_ltlf,baseline,20,2,15,15,0.031421,18.993258,19.024679000000003,0.0,0.0,0.01,0.2033333333333333,0.0095238095238095,0.0095238095238095,0.1936507936507936,0.0,0.0,0.0,0.05,0.0,0.0,0.0476190476190476,0.0,0.0,0.1,0.35,0.0952380952380952,0.0952380952380952,0.3333333333333333,0.0,0.0,0.02,0.2819047619047619,0.019047619047619,0.2684807256235827,0.0,0.0,0.0,0.05,0.0,0.0476190476190476,0.0,0.0,0.15,0.55,0.1428571428571428,0.5238095238095238,0.0,0.0626455026455026,0.0626455026455026,2.033333333333333,0.0968253968253968,6.8,0.4533333333333333,0.4533333333333333,1.0
bpic2012_O_ACCEPTED-COMPLETE,heuristic_1,xgboost,genetic_ltlf,baseline,20,2,20,20,0.031421,24.807021,24.838442,0.0,0.0,0.03,0.2074999999999999,0.0285714285714285,0.0285714285714285,0.1976190476190475,0.0,0.0,0.0,0.05,0.0,0.0,0.0476190476190476,0.0,0.0,0.15,0.35,0.1428571428571428,0.1428571428571428,0.3333333333333333,0.0,0.0,0.05797783933518,0.3086842105263158,0.0552169898430286,0.293984962406015,0.0,0.0,0.0,0.05,0.0,0.0476190476190476,0.0,0.0,0.25,0.6,0.238095238095238,0.5714285714285714,0.0,0.0698214285714285,0.0698214285714285,2.075,0.0988095238095238,8.549999999999999,0.4274999999999999,0.4274999999999999,1.0
bpic2012_O_ACCEPTED-COMPLETE,heuristic_2,xgboost,genetic_ltlf,baseline,20,1,5,5,0.032289,59.16454,59.196829,0.0,0.0,0.19,0.3299999999999999,0.1809523809523809,0.1809523809523809,0.3142857142857142,0.0,0.0,0.0,0.1,0.0,0.0,0.0952380952380952,0.0,0.0,0.7,0.8,0.6666666666666666,0.6666666666666666,0.7619047619047619,0.0,0.0,0.3269281045751634,0.475,0.3113600995953937,0.4523809523809523,0.0,0.0,0.0,0.2,0.0,0.1904761904761904,0.0,0.0,0.7,0.8,0.6666666666666666,0.7619047619047619,0.0,0.0904761904761904,0.0904761904761904,3.3,0.1571428571428571,1.65,0.3299999999999999,0.3299999999999999,1.0
bpic2012_O_ACCEPTED-COMPLETE,heuristic_2,xgboost,genetic_ltlf,baseline,20,1,10,10,0.032289,106.742253,106.774542,0.0,0.0,0.09,0.24,0.0857142857142857,0.0857142857142857,0.2285714285714285,0.0,0.0,0.0,0.1,0.0,0.0,0.0952380952380952,0.0,0.0,0.7,0.85,0.6666666666666666,0.6666666666666666,0.8095238095238094,0.0,0.0,0.1741130604288499,0.3455555555555556,0.1658219623131903,0.3291005291005291,0.0,0.0,0.0,0.05,0.0,0.0476190476190476,0.0,0.0,0.7,0.85,0.6666666666666666,0.8095238095238094,0.0,0.074047619047619,0.074047619047619,2.4,0.1142857142857142,2.4,0.24,0.24,1.0
bpic2012_O_ACCEPTED-COMPLETE,heuristic_2,xgboost,genetic_ltlf,baseline,20,1,15,15,0.032289,150.141531,150.17381999999998,0.0,0.0,0.05,0.1899999999999999,0.0476190476190476,0.0476190476190476,0.1809523809523809,0.0,0.0,0.0,0.1,0.0,0.0,0.0952380952380952,0.0,0.0,0.7,0.8,0.6666666666666666,0.6666666666666666,0.7619047619047619,0.0,0.0,0.1,0.2157142857142857,0.0952380952380952,0.2054421768707483,0.0,0.0,0.0,0.05,0.0,0.0476190476190476,0.0,0.0,0.75,0.8,0.7142857142857142,0.7619047619047619,0.0,0.0479365079365079,0.0479365079365079,1.9,0.0904761904761904,2.85,0.1899999999999999,0.1899999999999999,1.0
bpic2012_O_ACCEPTED-COMPLETE,heuristic_2,xgboost,genetic_ltlf,baseline,20,1,20,20,0.032289,148.140872,148.173161,0.0,0.0,0.0184210526315789,0.1657894736842105,0.0175438596491228,0.0175438596491228,0.1578947368421052,0.0,0.0,0.0,0.1,0.0,0.0,0.0952380952380952,0.0,0.0,0.15,0.35,0.1428571428571428,0.1428571428571428,0.3333333333333333,0.0,0.0,0.0363034779932286,0.1961988304093567,0.034574740945932,0.186856028961292,0.0,0.0,0.0,0.05,0.0,0.0476190476190476,0.0,0.0,0.25,0.45,0.238095238095238,0.4285714285714285,0.0,0.044255375280306,0.044255375280306,1.6578947368421053,0.0789473684210526,3.1499999999999995,0.1574999999999999,0.1657894736842105,1.0
