dataset,heuristic,model,method,optimization,prefix_length,idx,desired_nr_of_cfs,generated_cfs,time_train,time_test,runtime,distance_l2,distance_mad,distance_j,distance_h,distance_l1j,distance_l2j,distance_mh,distance_l2_min,distance_mad_min,distance_j_min,distance_h_min,distance_l1j_min,distance_l2j_min,distance_mh_min,distance_l2_max,distance_mad_max,distance_j_max,distance_h_max,distance_l1j_max,distance_l2j_max,distance_mh_max,diversity_l2,diversity_mad,diversity_j,diversity_h,diversity_l2j,diversity_mh,diversity_l2_min,diversity_mad_min,diversity_j_min,diversity_h_min,diversity_l2j_min,diversity_mh_min,diversity_l2_max,diversity_mad_max,diversity_j_max,diversity_h_max,diversity_l2j_max,diversity_mh_max,count_diversity_cont,count_diversity_cate,count_diversity_all,avg_nbr_changes_per_cf,avg_nbr_changes,implausibility_sum,implausibility_max_nbr_cf,implausibility_nbr_cf,sat_score
BPIC17_O_ACCEPTED,heuristic_1,xgboost,genetic_ltlf_baseline_operators,baseline,15,1,5,5,0.238545,8.463451,8.701996,0.0,0.0,0.6,0.6,0.5625,0.5625,0.5625,0.0,0.0,0.5333333333333333,0.5333333333333333,0.5,0.5,0.5,0.0,0.0,0.6666666666666666,0.6666666666666666,0.625,0.625,0.625,0.0,0.0,0.6666666666666666,0.6666666666666666,0.625,0.625,0.0,0.0,0.4,0.4,0.375,0.375,0.0,0.0,0.8,0.8,0.75,0.75,0.0,0.125,0.125,4.5,0.28125,3.0,0.6,0.6,1.0
BPIC17_O_ACCEPTED,heuristic_1,xgboost,genetic_ltlf_baseline_operators,baseline,15,1,10,10,0.238545,9.17023,9.408775,0.0,0.0,0.6866666666666668,0.6866666666666668,0.64375,0.64375,0.64375,0.0,0.0,0.6,0.6,0.5625,0.5625,0.5625,0.0,0.0,0.7333333333333333,0.7333333333333333,0.6875,0.6875,0.6875,0.0,0.0,0.6251851851851853,0.6251851851851853,0.5861111111111112,0.5861111111111112,0.0,0.0,0.26666666666666666,0.26666666666666666,0.25,0.25,0.0,0.0,0.9333333333333333,0.9333333333333333,0.875,0.875,0.0,0.131875,0.131875,5.15,0.321875,6.866666666666667,0.6866666666666668,0.6866666666666668,1.0
BPIC17_O_ACCEPTED,heuristic_1,xgboost,genetic_ltlf_baseline_operators,baseline,15,1,15,15,0.238545,18.837439,19.075984,0.0,0.0,0.6133333333333333,0.6133333333333333,0.575,0.575,0.575,0.0,0.0,0.4666666666666667,0.4666666666666667,0.4375,0.4375,0.4375,0.0,0.0,0.6666666666666666,0.6666666666666666,0.625,0.625,0.625,0.0,0.0,0.6575963718820862,0.6558730158730158,0.6164965986394558,0.6148809523809523,0.0,0.0,0.13333333333333333,0.13333333333333333,0.125,0.125,0.0,0.0,0.8666666666666667,0.8666666666666667,0.8125,0.8125,0.0,0.14347222222222222,0.14347222222222222,4.6,0.2875,9.2,0.6133333333333333,0.6133333333333333,1.0
BPIC17_O_ACCEPTED,heuristic_1,xgboost,genetic_ltlf_baseline_operators,baseline,15,1,20,20,0.238545,66.317832,66.556377,0.0,0.0,0.6035087719298244,0.6035087719298244,0.5657894736842104,0.5657894736842104,0.5657894736842104,0.0,0.0,0.4666666666666667,0.4666666666666667,0.4375,0.4375,0.4375,0.0,0.0,0.8666666666666667,0.8666666666666667,0.8125,0.8125,0.8125,0.0,0.0,0.6670843776106935,0.6635477582846004,0.6253916040100251,0.6220760233918129,0.0,0.0,0.26666666666666666,0.26666666666666666,0.25,0.25,0.0,0.0,0.9333333333333333,0.9333333333333333,0.875,0.875,0.0,0.1473337950138504,0.1473337950138504,4.526315789473684,0.28289473684210525,11.466666666666665,0.5733333333333333,0.6035087719298244,1.0
BPIC17_O_ACCEPTED,heuristic_1,xgboost,genetic_ltlf_baseline_operators,baseline,15,2,5,5,0.238545,8.163224,8.401769,0.0,0.0,0.6666666666666667,0.6666666666666667,0.6250000000000001,0.6250000000000001,0.6250000000000001,0.0,0.0,0.5333333333333333,0.5333333333333333,0.5,0.5,0.5,0.0,0.0,0.7333333333333333,0.7333333333333333,0.6875,0.6875,0.6875,0.0,0.0,0.6885714285714285,0.6866666666666666,0.6455357142857142,0.6437499999999999,0.0,0.0,0.2857142857142857,0.26666666666666666,0.26785714285714285,0.25,0.0,0.0,0.8666666666666667,0.8666666666666667,0.8125,0.8125,0.0,0.12875,0.12875,5.0,0.3125,3.533333333333333,0.7066666666666667,0.7066666666666667,1.0
BPIC17_O_ACCEPTED,heuristic_1,xgboost,genetic_ltlf_baseline_operators,baseline,15,2,10,10,0.238545,8.884459,9.123004,0.0,0.0,0.6599999999999999,0.6599999999999999,0.6187499999999999,0.6187499999999999,0.6187499999999999,0.0,0.0,0.5333333333333333,0.5333333333333333,0.5,0.5,0.5,0.0,0.0,0.7333333333333333,0.7333333333333333,0.6875,0.6875,0.6875,0.0,0.0,0.5859259259259261,0.5851851851851854,0.5493055555555557,0.5486111111111113,0.0,0.0,0.26666666666666666,0.26666666666666666,0.25,0.25,0.0,0.0,0.8,0.8,0.75,0.75,0.0,0.1234375,0.1234375,4.95,0.309375,7.133333333333333,0.7133333333333333,0.7133333333333333,1.0
BPIC17_O_ACCEPTED,heuristic_1,xgboost,genetic_ltlf_baseline_operators,baseline,15,2,15,15,0.238545,14.6358,14.874345,0.0,0.0,0.6711111111111111,0.6711111111111111,0.6291666666666667,0.6291666666666667,0.6291666666666667,0.0,0.0,0.5333333333333333,0.5333333333333333,0.5,0.5,0.5,0.0,0.0,0.8,0.8,0.75,0.75,0.75,0.0,0.0,0.6774603174603174,0.6774603174603174,0.6351190476190476,0.6351190476190476,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0625,0.0625,0.0,0.0,0.9333333333333333,0.9333333333333333,0.875,0.875,0.0,0.14819444444444443,0.14819444444444443,5.033333333333333,0.3145833333333333,10.399999999999999,0.6933333333333332,0.6933333333333332,1.0
BPIC17_O_ACCEPTED,heuristic_1,xgboost,genetic_ltlf_baseline_operators,baseline,15,2,20,20,0.238545,18.223539,18.462083999999997,0.0,0.0,0.6299999999999999,0.6299999999999999,0.590625,0.590625,0.590625,0.0,0.0,0.4666666666666667,0.4666666666666667,0.4375,0.4375,0.4375,0.0,0.0,0.7333333333333333,0.7333333333333333,0.6875,0.6875,0.6875,0.0,0.0,0.6483208020050124,0.647719298245614,0.6078007518796992,0.6072368421052632,0.0,0.0,0.13333333333333333,0.13333333333333333,0.125,0.125,0.0,0.0,0.9333333333333333,0.9333333333333333,0.875,0.875,0.0,0.14421875,0.14421875,4.725,0.2953125,12.666666666666663,0.6333333333333331,0.6333333333333331,1.0
BPIC17_O_ACCEPTED,heuristic_1,xgboost,genetic_ltlf,baseline,15,1,5,5,0.18311,11.880146,12.063255999999999,0.0,0.0,0.49333333333333335,0.49333333333333335,0.4625,0.4625,0.4625,0.0,0.0,0.2,0.2,0.1875,0.1875,0.1875,0.0,0.0,0.6666666666666666,0.6666666666666666,0.625,0.625,0.625,0.0,0.0,0.6466666666666667,0.6466666666666667,0.6062500000000001,0.6062500000000001,0.0,0.0,0.4666666666666667,0.4666666666666667,0.4375,0.4375,0.0,0.0,0.8,0.8,0.75,0.75,0.0,0.12125,0.12125,3.7,0.23125,2.466666666666667,0.49333333333333335,0.49333333333333335,1.0
BPIC17_O_ACCEPTED,heuristic_1,xgboost,genetic_ltlf,baseline,15,1,10,10,0.18311,84.525735,84.708845,0.0,0.0,0.4133333333333334,0.4133333333333334,0.38750000000000007,0.38750000000000007,0.38750000000000007,0.0,0.0,0.26666666666666666,0.26666666666666666,0.25,0.25,0.25,0.0,0.0,0.5333333333333333,0.5333333333333333,0.5,0.5,0.5,0.0,0.0,0.4243549043549042,0.3940740740740739,0.3978327228327227,0.3694444444444443,0.0,0.0,0.14285714285714285,0.13333333333333333,0.13392857142857142,0.125,0.0,0.0,0.5714285714285714,0.5333333333333333,0.5357142857142857,0.5,0.0,0.083125,0.083125,3.1,0.19375,4.133333333333334,0.4133333333333334,0.4133333333333334,1.0
